prefix	input_text	target_text
xNeed	PersonX spends ___ in jail	hurt someone
xNeed	PersonX is taken to the hospital	to be picked up by ambulance
oEffect	PersonX gets near PersonY	PersonY feels close to PersonX
oWant	PersonX plays with PersonY's friends	Invite person X to come and play on other days too.
oEffect	PersonX beats PersonX's brother	cries
xWant	PersonX dedicates PersonX's ___ to the service	to help the less fortunate
oWant	PersonX buys PersonY's supplies	to paint a picture.
xReact	PersonX evens took ___	confident
oWant	PersonX writes PersonY's memoirs	to read it
xAttr	PersonX gets PersonY answer	curious
xEffect	PersonX travels to canada	They visit family/friends
xNeed	PersonX accidentally tripped	to be clumsy.
xWant	PersonX has made a mistake	to correct the mistake
oEffect	PersonX obeys PersonY orders	to get more idea
xEffect	PersonX gives PersonY a squeeze	Moves arms
oEffect	PersonX looks at PersonY with a smile	gets asked out on a date
oWant	PersonX plays practical jokes	to continue on
xIntent	PersonX tests every ___	make sure it works.
xEffect	PersonX gets really angry	fists clenches at his side
oEffect	PersonX checks PersonY's email	PersonY is insulted
xAttr	PersonX goes visit PersonY	on vacation
xIntent	PersonX spends all of PersonX's time	to complete a task
xReact	PersonX leaves and go home	relaxed
xNeed	PersonX takes ___ out of the box	to open it
xEffect	PersonX tempts fate	gets burned
xNeed	PersonX chops vegetables	to get a knife
oWant	PersonX bears PersonY children	to help PersonX
oWant	PersonX performs PersonY's task	to know how PersonX performed on the task
xReact	PersonX puts things right	less bad
xReact	PersonX kisses the king 's ___	like a kiss up
xNeed	PersonX puts ___ to work	to summon them
xWant	PersonX says goodbye	gets in car and drives away
oReact	PersonX calls a cab	pleased to see person x
oWant	PersonX calls PersonY's back	talk to PersonX
oWant	PersonX pushes PersonY around	To push back
xNeed	PersonX eats it anyway	to pick up food
xWant	PersonX expresses PersonY admiration	add own opinon
xEffect	PersonX furthers the ___ for the maintenance	They make repairs
xWant	PersonX goes everywhere	to explore more places
xReact	PersonX has lunch together	happy
xReact	PersonX eats ___ for dessert	satisfied
oWant	PersonX returns PersonY's phone	to get a new app
oEffect	PersonX grabs PersonY's phone	PersonY needs to regain their phone
xNeed	PersonX makes a name for oneself	to write a good book.
oReact	PersonX offers ___ a ride	grateful
xAttr	PersonX whistles dixie	Relaxed
oWant	PersonX keeps PersonY eye on things	to use the things they watched over
xIntent	PersonX gives PersonX's money	to buy the tv
oEffect	PersonX lets PersonX's stay	Sits down.
xNeed	PersonX gets PersonY's hair cut	to drive to the barber
xAttr	PersonX devotes PersonX's ___ to the cause	engaged
xIntent	PersonX limits PersonY's use	bossy
oEffect	PersonX teaches the class	students listen to the lesson
xWant	PersonX opens PersonX's own shop	to advertise the business
xEffect	PersonX wants to fight PersonY	They lose the fight
xWant	PersonX wants to surprise PersonX's girlfriend	to make girlfriend happy
xNeed	PersonX drives ___ carefully	get in car
oEffect	PersonX asks ___ for suggestions	they are thanked
xIntent	PersonX pays the fee	to avoid trouble
xReact	PersonX falls in love with PersonY	overwhelmed with love.
oWant	PersonX pursues PersonY's way	pay PersonX
xReact	PersonX sweetens the pot	competitive
xWant	PersonX decides to check it out	report events
xAttr	PersonX never missed ___	strong
xWant	PersonX teaches PersonY's dog	a well trained pet
xIntent	PersonX surfs the web	to be entertained
xIntent	PersonX listens to PersonY's parents	to know where his friend is
oWant	PersonX takes ___ to a restaurant	stomach upset
xEffect	PersonX tells PersonY tales	the story get's changed
oWant	PersonX sticks in PersonY's craw	argue
xAttr	PersonX delivers the next day	routine
xEffect	PersonX eats food	wipes food off hands
xReact	PersonX leads to PersonY's death	powerful
xEffect	PersonX meets PersonX's responsibilities	Is trusted by other people
xIntent	PersonX anxiously awaited	to get admission into college
xNeed	PersonX notices ___ on PersonX's arm	to pass his finger on it
xIntent	PersonX takes PersonY's daughter	the daughter
oWant	PersonX goes to the home improvement store	provide advice
oReact	PersonX drives ___ to work	thankful
oEffect	PersonX just listed PersonY for sale	Unknowing
xNeed	PersonX looks everywhere for PersonY	to care about PersonY
oEffect	PersonX puts the ___ in order	hangout
xEffect	PersonX walks ___ from school	gets exercise
oWant	PersonX plays ___ with PersonY's friend	they wave goodbye
xNeed	PersonX asks PersonY's friend for help	to meet PersonY
xReact	PersonX spills ___ on the carpet	like they better clean it up
xAttr	PersonX forms PersonY image	perceptive
xNeed	PersonX sees PersonY wars	looks for person y
xIntent	PersonX eats PersonY apple	to be satiated
xAttr	PersonX throws PersonZ's ___ around PersonY	caring
oEffect	PersonX comes to PersonY's assistance	accepts help
xIntent	PersonX reads the directions	start a project
oWant	PersonX pays PersonY back	to save the money
oWant	PersonX clips PersonY's wings	to run away
oReact	PersonX plays ping pong	enjoyment
oReact	PersonX plays a joke	amused
oEffect	PersonX brings PersonY something	learns kindness
xAttr	PersonX wants PersonX's parents	responsible
oEffect	PersonX performs ___ on behalf	gets fired
oWant	PersonX puts PersonY's ___ into words	To praise Person X
xEffect	PersonX gets ___ on the way home	looks in mirror
xReact	PersonX lays down PersonX's life	nothing.
xNeed	PersonX is getting dark	to forget to wear sunscreen
xAttr	PersonX plays arcade games	fun
oWant	PersonX goes roller skating	to do it too
oEffect	PersonX comes to get PersonY	PersonY has a drink with PeronX
xWant	PersonX leaves PersonY in the lurch	to get in his car and leave
xAttr	PersonX narrows PersonX's choices	Organized
xEffect	PersonX gets cold	is uncomfortable
xReact	PersonX becomes very depressed	hopeless
oEffect	PersonX tells tales out of school	they like to hang out and joke with them
oReact	PersonX has a huge crush on PersonY	happy
oWant	PersonX takes ___ to PersonY's mom	to take the item away
xIntent	PersonX starts to eat it	to end their hunger
xAttr	PersonX tries to get PersonY's attention	hopeful
oReact	PersonX shoos ___ away	annoyed
oReact	PersonX pulls up stakes	glad that someone tries to stand on his own.
xEffect	PersonX hurts PersonX's ankle	Rests their ankle
oEffect	PersonX plays PersonY ___ in the life	accused for something not commited
oEffect	PersonX brings PersonY's family	Gain respect for X
oEffect	PersonX takes ___ to PersonX's house	The other person thinks fondly of PersonX
oEffect	PersonX shakes hands with PersonY	talks to person X
xNeed	PersonX coordinates PersonY's efforts	to have permission to coordinate the efforts
xReact	PersonX walks to PersonX's desk	engaged
xAttr	PersonX remembers ___ late	lazy
xReact	PersonX loves PersonX's grandma	like they have someone who cares about them
oWant	PersonX gives PersonY illustration	to look at what PersonX did
oReact	PersonX fights a losing battle	sympathetic
oReact	PersonX adopts a baby	happy
xEffect	PersonX is really embarrassed	blushes
xReact	PersonX takes a job	wanted
xIntent	PersonX makes fun of PersonY ___	to belittle persony
xWant	PersonX draws ___ from data	to fix mistakes
xEffect	PersonX calls PersonY's friends	hears their voice
xEffect	PersonX returns to college	becomes more educated
xAttr	PersonX casts pearls before swine	evil
oWant	PersonX treats PersonX's ___ well	to know PersonX's motives for such good behaviour
xNeed	PersonX listens to PersonX's music	to create the music
xIntent	PersonX opens PersonX's lips	noise
xWant	PersonX signs PersonY's name	to take drink or water
xWant	PersonX sits down beside PersonY	talk
xIntent	PersonX changes PersonY's views	see the truth about a subject
xIntent	PersonX calls the school	to gather information
oEffect	PersonX does PersonX's job well	gets fired
xNeed	PersonX keeps PersonX's house	to learn how to wash dishes
xNeed	PersonX wants to be the best	to see the benefits of being the best
xAttr	PersonX reads PersonY's book	sneaky
oWant	PersonX takes charge of PersonY	to work hard
oWant	PersonX touches PersonY on the shoulder	find out what person X wants
oEffect	PersonX lands PersonY's dream job	leaves town
oWant	PersonX pulls PersonY into a hug	to hug back.
xEffect	PersonX takes the baby	smiles
oWant	PersonX sends ___ to help	to move on to their next job
oWant	PersonX decides to go to the doctor	to treat PersonX
xWant	PersonX decides to buy a dog	to buy a carrier for the dog
xEffect	PersonX rakes leaves	gets dirty
oWant	PersonX tells PersonY's son	to know the truth
oReact	PersonX orders ___ right away	thankful
oWant	PersonX immediately took PersonY	to rush PersonX
oWant	PersonX hangs ___ on PersonX's wall	To compliment X on taste
xIntent	PersonX plays it cool	to be calm
xWant	PersonX gives the girl ___	to talk to the girl
xNeed	PersonX makes cupcakes	to mix ingredients
oReact	PersonX goes beyond PersonY	surpassed
xNeed	PersonX plays PersonX's music	To warm up
oReact	PersonX produces ___ in animals	sick
oWant	PersonX leaves ___ soon	to welcome him home.
xIntent	PersonX does every ___ in PersonX's power	to achieve a result
xAttr	PersonX puts ___ in the freezer	Clumsy
xEffect	PersonX takes PersonY all day	runs out of time
oReact	PersonX sells candy bars	happy to have candy to eat after purchasing
xWant	PersonX has a halloween party	to dance
xEffect	PersonX blows PersonY's horn	takes a breath
xIntent	PersonX tries ___ at home	to do something new
xWant	PersonX attends a party	to get a drink
xNeed	PersonX makes a little extra money	to do a good job
xNeed	PersonX uses the litter box	Someone's on the toilet.
xReact	PersonX never looked back	relieved
xAttr	PersonX buys PersonX's lunch	happy
xReact	PersonX plays ___ as well	excited
xEffect	PersonX makes a funny noise	is asked to leave the dinner table.
oWant	PersonX learns my lesson	to listen to PersonX
xReact	PersonX gives PersonY every ___	happy
xReact	PersonX meets PersonY friend	interested
xNeed	PersonX lights every ___	to have many lights
oEffect	PersonX changes PersonY's mind	Y feels better
oWant	PersonX gives PersonY some information	to take care of something
xEffect	PersonX makes PersonY attack	injured severly
xAttr	PersonX remembers the ___ well	day
xIntent	PersonX finally finds ___	to feed her baby.
xEffect	PersonX takes ___ to the vet	sleeps with their pet
oEffect	PersonX spends ___ with PersonX's kids	Claps
xNeed	PersonX writes PersonX's history	interview old friends
xIntent	PersonX wreaks havoc	everything to go his way
oReact	PersonX waits a week	fun
xNeed	PersonX sits with PersonY's friends	to walk to PersonY's friends
xAttr	PersonX eats potato chips	unhealthy
xReact	PersonX leaves for work	determined
oWant	PersonX comes online	find companionship
oReact	PersonX learns the violin	impressed
oReact	PersonX gives one the ___	joyful
oWant	PersonX sits at PersonY's computer	to say welcome to PersonX's thanks
oEffect	PersonX just listed ___ for sale in my shop	more goods in shop
xReact	PersonX meets ___ online	disappointed
xAttr	PersonX goes along with PersonY	convinced
xEffect	PersonX takes ___ into PersonX's own hands	is overwhelmed
xAttr	PersonX corners the market	successful
xIntent	PersonX takes ___ to the pound	to get rid of a dog
xWant	PersonX names PersonY's lily	to make a friend
xIntent	PersonX spends ___ with PersonY family	to enjoy time together
oReact	PersonX takes ___ to disneyland	thankful
xWant	PersonX buys PersonY's supplies	Flip the item
oEffect	PersonX takes care of PersonY's needs	get out of jail
xWant	PersonX comes home one day	check mail
oWant	PersonX satisfies PersonY's wants	get a snack
xWant	PersonX counts every ___	to keep track
oEffect	PersonX opens PersonY's eyes slowly	sees clearly
oWant	PersonX affects PersonY's health	to feel better
xWant	PersonX spends ___ with PersonX's families	to eat a meal
xNeed	PersonX knows PersonY's ___ thoroughly	to spend a lot time learning person Y
xNeed	PersonX finishes the story	hearing novels story from others
oEffect	PersonX buries PersonY's face	cant breathe
xNeed	PersonX inflicts ___ upon PersonY	seek revenge
xReact	PersonX pays PersonY dollars	satisfied
xNeed	PersonX inflicts ___ upon PersonY	to have a reason to do that
xIntent	PersonX helps PersonY a lot	to be a friend
xWant	PersonX gets a new cell phone	to play with their phone
xNeed	PersonX makes tacos	turn on stove
xReact	PersonX plays it safe	protected
oReact	PersonX fills PersonY's pipe	happy
oEffect	PersonX lives by the ocean	can't visit during a storm.
xIntent	PersonX gets PersonY's number	to get number
xAttr	PersonX gets blood from a stone	creative
xReact	PersonX wants ___ as a pet	longing
xNeed	PersonX throws a tantrum	to want the attention
oEffect	PersonX drives PersonY crazy	PersonY can't be around PersonX
xReact	PersonX eventually took ___	confident
xAttr	PersonX gives PersonX's mom ___	adventurous
xAttr	PersonX finally found it	satisfied
oWant	PersonX leads PersonY existence	be independent
xWant	PersonX uses one 's ___	to carry out a task
oReact	PersonX hires ___ on the spot	exuberant
xReact	PersonX keeps PersonY long	feel bad
oWant	PersonX wants PersonY help	to help their friend
xIntent	PersonX calls a taxi	to travel
xIntent	PersonX plays ___ with my friend	to have something to do
xEffect	PersonX walks downtown	they meet friends
oReact	PersonX hides and seek	excited
oReact	PersonX changes PersonY's diet	frustrated
xIntent	PersonX cooks ___ for PersonY's family	to practice a skill
xEffect	PersonX says would send	take time to send.
oReact	PersonX books PersonY's trip	relieved that the trip is booked
xWant	PersonX uses PersonX's words	settle it down
xAttr	PersonX thanks ___ for the help	grateful
xIntent	PersonX hides PersonX's light under a bushel	to make the other person look for it
oReact	PersonX runs behind PersonY	happy
xIntent	PersonX pulls out PersonY's cell phone	to be controlling
xWant	PersonX wants ___ than anything	watch TV
xEffect	PersonX says good bye	is alone
xWant	PersonX establishes PersonY organization	to have an opening ceremony
xNeed	PersonX sings and play	learning
xEffect	PersonX bats five hundred	smiles
xIntent	PersonX puts ___ in front	at the time its important
oWant	PersonX affords one	to accompany him
oReact	PersonX helps many people	helped
oReact	PersonX takes PersonY's daughter	disturbed
xEffect	PersonX plays better	PersonX impresses the judge
xReact	PersonX borrows ___ on the credit	richer
xAttr	PersonX wins the grand prize	lucky
xEffect	PersonX provides PersonY service	earns pay
xReact	PersonX gets a hit	great
oEffect	PersonX keeps PersonY healthy	loses money
oWant	PersonX performs PersonY's task	to thank PersonX for helping
xAttr	PersonX hires another ___	Hectic
oEffect	PersonX supports PersonY's view	PersonY is emboldened with their view
xAttr	PersonX judges a ___ by PersonY's cover	biased
oEffect	PersonX imposes upon PersonY the ___	looks surprised
xNeed	PersonX removes PersonX's hat	Insult PersonY
oWant	PersonX helps clean	to finish cleaning
xIntent	PersonX sings and dance	to express their joy
xEffect	PersonX wings it	flaps arms
xEffect	PersonX preaches ___ to the poor	donates
oWant	PersonX buys ___ from the grocery store	take money
oEffect	PersonX finds PersonY's bike	talks to pesonX
xEffect	PersonX finds something to wear	shows off hat.
oEffect	PersonX has to take PersonY to the doctor	gets cured
oReact	PersonX decides to propose to PersonY	loved
xEffect	PersonX stands ___ by side	person x steps out of order
oReact	PersonX performs PersonY's work	happy
xWant	PersonX forgets the sugar	to go back to the store
xAttr	PersonX runs really fast	agile
xIntent	PersonX gives PersonY a description	to help find something/someone
xEffect	PersonX learns how to ice skate	does jumps and spins
xReact	PersonX likes PersonX's work	proud
xReact	PersonX mows the yard	satisfied when its finished
xAttr	PersonX looks into PersonY eyes	engaged
xWant	PersonX binds PersonY together	to take PersonY on a boat
oEffect	PersonX shakes PersonY's hands	Person Y follows person X
xAttr	PersonX loves PersonX's new home	positive
oWant	PersonX buries PersonY's face	to fight back
oWant	PersonX thanks PersonY's ___ for PersonY's support	to offer more supports in the future
xAttr	PersonX begins to drive	determined
xWant	PersonX buys ___ for the new school year	to start good the year
xAttr	PersonX pulls PersonY's hair	mean
xEffect	PersonX avenges PersonY's brother 's ___	apologizes to PersonY
xAttr	PersonX takes to ___ like a duck to water	quick learner
oEffect	PersonX comes to PersonY's knowledge	PersonY moves mouth
xNeed	PersonX takes ___ to mcdonald 's	to bring them to the car
xIntent	PersonX makes good grades	to impress their parents
xWant	PersonX plays golf	Hit the ball
xNeed	PersonX gets PersonY's friend	pick up the friend
xWant	PersonX starts to laugh	to continue the jokes
oEffect	PersonX ties PersonY's hair	feels pretty
oEffect	PersonX makes ___ together	gains ability
oReact	PersonX never let ___	irritated
oWant	PersonX gives PersonX's friends ___	say thankyou
xWant	PersonX turns towards PersonY	to tell a joke
xIntent	PersonX gets an a on PersonX's test	do well in school
xWant	PersonX does one 's duty	to get a medal
oReact	PersonX helps PersonX's mother	happy
xReact	PersonX combs PersonY hair	friendly
oEffect	PersonX texts PersonY today	PersonY shows up for the exam.
oReact	PersonX promotes ___ abroad	satisfied
xAttr	PersonX rings the bell	loud
xReact	PersonX seems good to PersonY	good about themselves
xIntent	PersonX accepts PersonY appointment	to have a job
oReact	PersonX protects the ___ from attack	grateful
xWant	PersonX confiscates PersonY's property	to get their money back
xIntent	PersonX plays ___ with friends	to have fun with friends
oEffect	PersonX drives to the nearest store	store owner gets robbed
xNeed	PersonX puts PersonX's ___ in PersonX's pocket	to go to the bank
oWant	PersonX gives unto PersonY	to settle the the argument
oReact	PersonX holds PersonY's ___ for years	guilty
oWant	PersonX manages PersonY's ___ effectively	To recieve a service
xNeed	PersonX breaks my arm	hits the person
xAttr	PersonX races home	worried
oReact	PersonX sues the company	upset
xReact	PersonX has a new puppy	happy
xAttr	PersonX gets ___ from a friend	jovial
xNeed	PersonX is trying to watch a movie	to turn on the tv
xReact	PersonX takes PersonY's truck	guilty
oEffect	PersonX takes PersonY to the circus	becomes grateful towards personX
oWant	PersonX writes PersonY's history	to be portrayed accurately
xIntent	PersonX seizes every opportunity	take the chance
xReact	PersonX waves goodbye	sad.
xIntent	PersonX grabs PersonY's purse	persony not to forget it
xIntent	PersonX raises ___ to buy	to achieve an accomplishment
oWant	PersonX leaves PersonX's toys	to play with them
oReact	PersonX gets laid off	sad
xAttr	PersonX finds a frog	Curious
xIntent	PersonX joins a dance class	to become an expert
oWant	PersonX persuades the ___ to support	to vote on the issue
oWant	PersonX shares ___ in common	laugh
xEffect	PersonX is sitting at PersonY's desk	person x can rest.
oReact	PersonX has PersonY by the short hairs	trapped, literally
xReact	PersonX loves dancing	joyful
oReact	PersonX lets it be	happy
xWant	PersonX takes PersonY turn	talks with person y about taking other turns
xEffect	PersonX washes the ___ away	finishing the cleaning job
xReact	PersonX texts while driving	like they've communicated
oWant	PersonX gets another ___	meet the new worker
oEffect	PersonX forms PersonY image	PersonY feelsconfident
xNeed	PersonX carries into effect the ___	prepare paperwork
xNeed	PersonX loves PersonY so much	to be intimate
xNeed	PersonX applies the ___ to the study	to do hard
xIntent	PersonX washes PersonY's sheets	to help persony.
oWant	PersonX does this ___ around the world	to visit social gatherings
oWant	PersonX grows into such a gentleman PersonY wondered why PersonY was single	to get married
xWant	PersonX completely destroyed	to eradicate something
xEffect	PersonX introduces a ___ further to amend	gets looked down on
xWant	PersonX changes PersonX's character	to do their best
xEffect	PersonX accepts PersonY's resignation	wants them to know their work was appreciated
xReact	PersonX climbs over the front seat	pleased with himself
xEffect	PersonX flies kites	puts kite up
oWant	PersonX has a great time	to thank the host of the party
oWant	PersonX asks PersonY on a date	to let x down gently
xIntent	PersonX draws attention away	to be distracting
oWant	PersonX gives PersonY a report	to go over it
oEffect	PersonX surprises ___ with a party	cries
oReact	PersonX makes an offer	unhappy
xNeed	PersonX is low on money	to spend money
oEffect	PersonX prevents PersonY's use	complains
xWant	PersonX is in a lot of pain	to sit down
xNeed	PersonX buys PersonY a drink	to go to PersonY
xIntent	PersonX tries to start it	to get it over with
xWant	PersonX ends PersonY's days	PersonY to be gone forever
oEffect	PersonX misses PersonY opportunity	wants personX to be encouraged
xWant	PersonX turns the tide	to advertise the trend
xWant	PersonX fills the room	to make room lively
xAttr	PersonX loves sandwiches	Gluttonous
oWant	PersonX reads the story	To enjoy time with X
xReact	PersonX plants a garden in PersonX's backyard	happy
oReact	PersonX talks to a friend	companionship
xAttr	PersonX does not go well	Stubborn
oReact	PersonX leads PersonY astray	happy
oWant	PersonX comes help PersonY	to thank PersonX
xAttr	PersonX makes a meal	hungry
oEffect	PersonX goes to PersonX's friend 's house	smiles
xAttr	PersonX thanks PersonY ___ for PersonZ's help	charismatic
xEffect	PersonX sends PersonX's son	surpise gift
xEffect	PersonX changes PersonX's behavior	they have a better life
xWant	PersonX takes ___ in the discussion	share opinion
xIntent	PersonX tells PersonY to relax	them to calm down
xAttr	PersonX meets a new man	flirtatious
xWant	PersonX decides to try it out	to experience something new
oEffect	PersonX visits ___ in the hospital	check heart rate
xWant	PersonX develops PersonX's skills	to accomplish something
xReact	PersonX follows another ___	excited
xWant	PersonX fights PersonX's way out	to get back to work
oEffect	PersonX gains PersonY understanding	PersonY gains knowledge about PersonX
xReact	PersonX wants one too	thankful
xAttr	PersonX serves in the army	motivated
oReact	PersonX uses ___ to PersonY's advantage	used
xEffect	PersonX fights for PersonX's life	PersonX lives
oReact	PersonX has PersonY's back	relieved
xAttr	PersonX requires PersonY effort	hopeful
xAttr	PersonX gets another flight	open
xIntent	PersonX expects every ___	every detail in order to understand
xAttr	PersonX sees a moose	curious
xNeed	PersonX moves to mexico	to decide where in Mexico they want to stay
xAttr	PersonX erects within the jurisdiction	Law abiding
oWant	PersonX goes ___ with PersonX's father	to send PersonX back home
xWant	PersonX can tell PersonY that PersonY is being solipsist and insolent	to leave y at thier own devices
oWant	PersonX pursues PersonY course	teach the couse
oWant	PersonX moves PersonY's mouth	to run away from personX
oReact	PersonX grabs PersonY's wrist	thankful and relieved
xNeed	PersonX gives PersonY the appearance	get dressed
xEffect	PersonX creates another ___	PersonX leads the advent into producing another government
xEffect	PersonX plays ___ that night	thiks about the task
oEffect	PersonX goes of PersonY's hand	left the place
oEffect	PersonX asks PersonY to be PersonX's wife	says no
xNeed	PersonX sleeps through the night	to be tired of work
xWant	PersonX borrows money	spend money
xAttr	PersonX has lots of fun	free-spirited
oEffect	PersonX covers PersonY's retreat	avoids enemies
oWant	PersonX reports the ___ to the police	writes a report
xNeed	PersonX is at work one	to drive to work
xReact	PersonX scratches the ticket	happy that he's won.
xAttr	PersonX makes a paper plane	handy
xIntent	PersonX takes piano lessons	to earn a living
xReact	PersonX frantically searched	relief
xEffect	PersonX sees ___ in the trash	takes it out
oReact	PersonX turns PersonY's face away	sad
xIntent	PersonX deepens PersonX's understanding	to be more fair
oWant	PersonX turns back to PersonY	to respond to PersonX.
xNeed	PersonX schools the next day	get admission
xWant	PersonX gets plenty of rest	to be productive
xIntent	PersonX grabs PersonY's wallet	bring it out to his friend who forgot it
oEffect	PersonX tells ghost stories	Cant sleep
oEffect	PersonX falls upon PersonY	Person y is stuck under person x
xAttr	PersonX pulls PersonY closer to PersonY	bossy
oWant	PersonX asserts PersonX's rights	to ignore the problem
xWant	PersonX works within the framework	to take a rest
xWant	PersonX takes the picture	to put her camera back in its case
xWant	PersonX puts the ___ away	to sit down.
xAttr	PersonX finds ___ to park	worried
oWant	PersonX takes PersonY back home	to relax and watch tv
oReact	PersonX tells ___ PersonY had the flu	worried for y
xEffect	PersonX talks to PersonY's husband	smiles
xEffect	PersonX goes to town	buys provisions
xEffect	PersonX takes another step	felt down
xReact	PersonX checks PersonX's mail	eager
oWant	PersonX tells PersonY had left	to move on
oEffect	PersonX rests upon PersonY	gets nervous
oEffect	PersonX plays bass guitar	CAN HEAR THE GUITAR
xAttr	PersonX gives PersonY a wink	friendly
oEffect	PersonX takes away ___	no longer have it
xIntent	PersonX would not come out	to avoid people
oWant	PersonX carries out PersonY's duties	to thank personX
xWant	PersonX closes the stable door after the horse has bolted	to take a rest
xAttr	PersonX braves every ___	hardy
oReact	PersonX brings home the bacon	proud
oReact	PersonX realizes PersonY forgot PersonX's wallet	worried
xIntent	PersonX reaches PersonY's room	to see y
oReact	PersonX makes PersonY decisions	inferior
xWant	PersonX finds PersonX's mother	talk with her
xWant	PersonX gives ___ some money	to help the community
xAttr	PersonX makes PersonY's ___ in the world	responsible
xNeed	PersonX invites all PersonY's friends over	to pick a day to invite everyone over.
xIntent	PersonX becomes better	improve
xEffect	PersonX shines like the sun	is bright
xAttr	PersonX opens fire	aggressive
xIntent	PersonX drives very well	to be safe
oWant	PersonX gives PersonY opportunities	discuss with hr
xNeed	PersonX takes the food	to find the food
oWant	PersonX uses ___ to express	to get what they are saying
