input_text	target_text	score	type	prefix
PersonX call the police	PersonY be a gonner	0.9389891624450684	head	oEffect
PersonX return to home	PersonY can not remember	0.634326696395874	head	oWant
PersonX take off PersonX glove	PersonX come inside	0.5775349736213684	tail	xIntent
PersonX would go	PersonY can hit you again	0.8573582768440247	head	oWant
PersonX make a decision	PersonY be hurt	0.9958601593971252	tail	oReact
that be god 's decision	PersonY be punish	0.9283112883567808	tail	oReact
PersonX pack my bag	PersonX be late	0.809890866279602	head	xReact
PersonX retrace PersonX step	PersonX be on point	0.975620687007904	head	xAttr
PersonX love PersonY	PersonY pass on PersonX	0.6129248142242432	head	oEffect
PersonX bring something	PersonY be different	0.9172029495239258	head	oReact
PersonX would be frustrated too	PersonX be ugly	0.6280986666679382	new	xNeed
PersonX call PersonY by name	PersonX have get left	0.8651545643806458	head	xReact
PersonX see PersonY	PersonY t be nice	0.798671543598175	head	oReact
PersonX be drink	PersonY be too late	0.8181387186050415	new	oReact
PersonX take PersonY	PersonY leave he	0.6010879278182983	head	oEffect
PersonX open PersonX eye	PersonY stir up	0.7127758860588074	head	oEffect
PersonX be get high	PersonY would not judge PersonX	0.6699605584144592	new	oEffect
PersonX be handsome	PersonX be a decent young man at heart	0.8823924660682678	new	xAttr
PersonX would be sack	PersonX be in trouble	0.7260335683822632	tail	xReact
PersonX accept the fact	PersonX be get old	0.9075397849082948	head	xReact
PersonX work part time	PersonX be in college	0.9537180066108704	head	xAttr
PersonX be old	PersonX have not hear	0.5921316146850586	head	xWant
's cut a session	PersonY come in here	0.8452649712562561	new	oWant
PersonX can take another crack at it	PersonY be gon na go	0.5356418490409851	new	oWant
there be chicken in it	PersonY be not sure	0.5908955931663513	new	oEffect
it can take 2	PersonY can take 2	0.8126260042190552	new	oEffect
people have see a car	PersonY be not sure	0.6312955617904663	new	oWant
it be work	PersonY just have to wait	0.8530498147010803	new	oWant
PersonX marriage will end	PersonY be not remorseful	0.8384724259376526	new	oWant
it be crazy	PersonY really need this right now	0.9050349593162536	new	oWant
PersonX be in love with PersonY	PersonX have always hope someday	0.7254641056060791	new	xEffect
PersonX wake up morning	PersonX be so excited	0.694186806678772	head	xReact
it be great	PersonY try a cider	0.7690012454986572	new	oEffect
PersonX join a band	PersonY be here	0.9937447905540466	head	oReact
PersonX hire a private investigator	PersonY would hope	0.7412163615226746	new	oEffect
PersonX take PersonX revenge	PersonY can gather plenty firewood	0.7924606204032898	head	oWant
PersonX be not a threat	PersonX be run away from you	0.6548029184341431	new	xIntent
PersonX take a few minute	PersonY be here	0.6791254281997681	new	oEffect
PersonX have already book another appointment	PersonY skin look great	0.8067336082458496	new	oReact
nothing will convince PersonX	PersonY have already make PersonX mind up	0.9247200489044192	new	oEffect
PersonX try to fix it	PersonX be a kid	0.8679850101470947	head	xReact
PersonX get a glass	PersonX be sad	0.9226956367492676	head	xReact
PersonX be responsible for death	PersonX will have to live with that	0.6554060578346252	new	xEffect
PersonX feel terrible	PersonX will be execute	0.8296847939491272	head	xReact
there be probably a thousand sellerse bear	PersonY sellers be a safe name	0.5007594227790833	new	oEffect
PersonX make sure	PersonX figure out	0.6949913501739502	head	xNeed
PersonX have no idea	PersonX be female	0.8296824097633362	head	xReact
all PersonX get	PersonY want to hang out	0.6406896114349365	tail	oEffect
PersonX go to house	PersonX ride forward	0.8690233826637268	head	xWant
PersonX be bald	PersonY be bald	0.6828919649124146	tail	oEffect
PersonX be thankful	PersonY be patient	0.9095382690429688	new	oWant
they be nazis	PersonY be bad	0.9048087596893308	tail	oWant
PersonX have no idea	PersonX can not remember the episode	0.9002534747123718	head	xWant
whenever it might be	PersonY this befall enough	0.5023313760757446	new	oEffect
PersonX be in poor health	PersonX have no prospects for employment	0.8695879578590393	new	xIntent
PersonX be gorgeous	PersonX be curvy	0.9172523021697998	tail	xAttr
PersonX have see	PersonY be a small place	0.6148910522460938	new	oEffect
the taresians have escort we back	PersonY kim be a member of race	0.6028965711593628	new	oWant
PersonX would inform they	PersonY neighbor would often inquire	0.7536851763725281	new	oEffect
PersonX be old	PersonX could refuse she nothing	0.6093274354934692	head	xWant
PersonX want to take a swing for PersonY	PersonX feel good	0.5200231075286865	new	xAttr
PersonX read book	PersonX be obese	0.9124407768249512	head	xAttr
PersonX meet PersonY	PersonY be in PersonY garden in nightie	0.9528298377990724	head	oReact
the food be consistently awesome	PersonY eat here time	0.8176758289337158	new	oWant
PersonX have to go to er	PersonY be the first time	0.9126195311546326	head	oWant
PersonX be affectionate	PersonX treat my ex	0.6781530976295471	new	xIntent
PersonX just could not put it down	PersonX actually read the book time	0.6888284087181091	new	xEffect
PersonX could not enjoy it	PersonX look at it	0.8823651075363159	tail	xWant
PersonX put PersonX arm around PersonY	PersonY just have to look at kwami	0.5775104761123657	head	oEffect
PersonX stay busy	PersonX find out	0.9872742891311646	head	xAttr
PersonX remain here	PersonX be convince	0.7942080497741699	tail	xAttr
PersonX drink up the rest of tea	PersonX go back to sleep	0.6534537672996521	tail	xIntent
south draw the last trump	PersonY rise with ace	0.8155244588851929	new	oWant
PersonX come to PersonY	PersonY be a therapist	0.9280540347099304	head	oWant
PersonX will be in touch	PersonY will hve we next news at 11	0.6287204027175903	new	oWant
PersonX want to watch	PersonX have read	0.9327794909477234	head	xReact
PersonX have one younger sister	PersonX parent be ed	0.664706826210022	new	xAttr
PersonX be old	PersonX have never have a job in life	0.6439051032066345	head	xWant
PersonX like it	PersonX ll follow you	0.9024639129638672	head	xWant
PersonX have a drinking problem	PersonX post have be remove	0.7364552021026611	head	xEffect
the experiment be not consider a success	PersonY promotion be make to rank	0.693489134311676	new	oEffect
PersonX get bigger	PersonY be useful	0.8137327432632446	head	oWant
PersonX lick my lip	PersonY my face get the gift of all	0.7235925197601318	head	oEffect
PersonX go to station	PersonX be glad	0.6213626265525818	head	xEffect
PersonX get through quickly	PersonY be clean	0.6638128161430359	tail	oReact
PersonX give PersonY	PersonY look PersonX in eye	0.8850113153457642	head	oEffect
PersonX invite PersonY	PersonY be a stranger	0.7443820238113403	head	oEffect
PersonX be old	PersonX have not have one hair on head	0.926320254802704	head	xWant
PersonX never look back	PersonX get up	0.8986982107162476	head	xEffect
PersonX kiss PersonY	PersonY sit down	0.8922480940818787	tail	oEffect
PersonX be my best friend	PersonX be in trouble	0.8493708372116089	head	xAttr
PersonX move to city	PersonX pass out	0.8432497382164001	head	xAttr
PersonX go to PersonY	PersonX can go	0.5197353959083557	head	xEffect
PersonX try to play	PersonX have hear	0.7366217970848083	head	xWant
it be wonderful	PersonY have the flatiron steak	0.8763084411621094	new	oWant
PersonX would not let	PersonY believe lynde understand	0.670058012008667	new	oWant
sometimes it be hard to PersonX	PersonY be more focus	0.6700261831283569	new	oEffect
PersonX love it	PersonX have mine mount	0.9657923579216005	new	xNeed
PersonX accuse PersonY	PersonX be mistaken	0.7502626180648804	tail	xAttr
PersonX start at center	PersonX be tall	0.9813714623451232	tail	xAttr
PersonX stay away	PersonY get it	0.9433871507644652	tail	oWant
it have to come to this	PersonY have such a collection	0.5068386793136597	new	oEffect
PersonX take PersonY hand	PersonY feel dizzy	0.943208396434784	head	oReact
the feeling here be	PersonY speak for itself	0.5589609742164612	new	oWant
PersonX walk out	PersonX be still wait	0.5043851137161255	new	xNeed
PersonX want PersonY	PersonX be pregnant with baby	0.979198694229126	head	xAttr
PersonX jump into bush	PersonX be wise	0.7524009943008423	tail	xReact
PersonX want PersonY	PersonX be go to kill about people	0.6391599178314209	head	xEffect
PersonX make my decision	PersonX walk out	0.5085431337356567	head	xReact
we community will re-evaluate we opinion of administration	PersonY appropriate action be take	0.5079168677330017	new	oEffect
whatever PersonX want	PersonY be nice	0.957788109779358	tail	oReact
PersonX come away	PersonX be a fascist	0.8478926420211792	head	xAttr
PersonX speak PersonY language	PersonY get throw in pool	0.8990111947059631	head	oReact
food from uber eat	PersonY order be wrong	0.6551209092140198	new	oReact
PersonX stay here in room	PersonX be a diamond member	0.5766381025314331	new	xNeed
PersonX lose PersonX job	PersonX begin disappear on trip overseas	0.5341148376464844	head	xEffect
those guy get	PersonY be lucky	0.8676149249076843	tail	oReact
the car be park	PersonY start rain	0.7630982398986816	new	oWant
PersonX be go to die	PersonX will operate on PersonX	0.8049840927124023	head	xEffect
the rice be undercooked	PersonY be disappointed	0.7280511856079102	tail	oReact
suddenly PersonX voice break	PersonY have run from room	0.8330047726631165	new	oWant
PersonX be run for president	PersonX be a man	0.8830416798591614	head	xAttr
PersonX mount PersonX horse	PersonY drive off	0.8179107308387756	head	oEffect
PersonX choke on blood	PersonX ask i for help	0.5831728577613831	new	xEffect
PersonX be old	PersonX be lawrence wilheimer	0.8616888523101807	head	xWant
luck would have it	PersonY turn out	0.8156048655509949	new	oWant
that be not good	PersonY be upset she	0.5123026371002197	new	oWant
no one shall take it from PersonX	PersonY be my faith	0.5543275475502014	new	oEffect
PersonX be old	PersonX be older	0.7871283888816833	head	xEffect
PersonX never go back	PersonX go to get some	0.5606629848480225	new	xIntent
PersonX still don	PersonY be not really my business	0.657457709312439	new	oWant
PersonX be play basketball	PersonX can see	0.7718780040740967	head	xIntent
PersonX would probably enjoy	PersonX come back	0.9422046542167664	tail	xIntent
PersonX would be honour	PersonX have agree	0.5299707651138306	new	xIntent
PersonX go back to place	PersonY pick up my car	0.814919114112854	head	oEffect
PersonX have with orthodontist	PersonY use a different type	0.6315898895263672	new	oEffect
PersonX explain the situation	PersonY be crazy	0.9946455955505372	head	oReact
PersonX could look stuff up	PersonX have access to library	0.7756644487380981	new	xWant
they give PersonX a discount	PersonY be a student	0.6937173008918762	new	oEffect
PersonX be leave the hotel	PersonX run into someone	0.9064953327178956	tail	xEffect
PersonX adore PersonY	PersonX be bias	0.5042144060134888	new	xEffect
PersonX could kill the entire lawn	PersonX administer many chemical	0.5007933378219604	new	xIntent
PersonX take a photo	PersonX have not see it	0.5352644920349121	head	xIntent
PersonX give PersonY	PersonY brother declare	0.7961149811744691	head	oEffect
PersonX use to run full-speed through wilderness	PersonY be ever at stake	0.9024683237075806	new	oWant
the portion be pretty small	PersonY be a little much batter	0.5715919733047485	new	oEffect
PersonX be old	PersonX be both gon na die	0.7434653043746948	head	xEffect
PersonX wash the clothes	PersonX will cook	0.5825115442276001	head	xEffect
PersonX see PersonY	PersonX be walk through store	0.8343828916549683	head	xWant
PersonX want PersonY	PersonY PersonY more	0.9237146377563475	head	oEffect
PersonX have buyer	PersonY be marry	0.5518423318862915	new	oWant
PersonX account will not get ban	PersonY work fine	0.5234134197235107	new	oReact
PersonX fall in love	PersonX try it out	0.8430644869804382	tail	xIntent
PersonX save PersonY	PersonY meet baloo	0.8948501348495483	head	oWant
PersonX like everything	PersonX be happy	0.9104348421096802	tail	xReact
PersonX be afraid	PersonX stay at home	0.9757469892501832	tail	xWant
the bleeding be very severe	PersonY be well	0.8417387604713441	tail	oReact
PersonX find the track	PersonX can be lose in dune	0.7239557504653931	new	xReact
PersonX be a little girl	PersonY PersonX finally have a grown-up excuse	0.8111439943313599	new	oEffect
PersonX really love PersonY	PersonX be bear	0.8206577301025391	tail	xReact
PersonX live with PersonY	PersonY go to work	0.925493597984314	tail	oEffect
PersonX be legally blind without glass	PersonX will ever get	0.5302049517631531	new	xIntent
these will come	PersonY be mike	0.6455510258674622	new	oEffect
PersonX want a snack	PersonX have see	0.8491567373275757	head	xAttr
time PersonX plane land	PersonY catch PersonX cab	0.843891978263855	new	oWant
PersonX keep PersonY	PersonY be frustrated	0.5704960227012634	head	oReact
PersonX stand in doorway	PersonY be out sight	0.6284462809562683	new	oWant
PersonX be not sure	PersonY water would be nice	0.7596552968025208	new	oEffect
PersonX will prove it to PersonY	PersonX be a good cook	0.5437085032463074	new	xIntent
PersonX be warm	PersonX be gon na stay	0.7533493638038635	new	xWant
there be something	PersonY so engagingly have its care for purity	0.7094230055809021	new	oEffect
neither have PersonX	PersonY read the menu	0.5404829382896423	new	oWant
PersonX go to pick it up	PersonY wheel be go	0.9015340209007264	new	oEffect
we be all volunteer	PersonY most people commit suicide at night	0.8735066056251526	new	oEffect
PersonX look better	PersonY be awesome	0.9935152530670166	tail	oReact
PersonX have have excess of punishment	PersonX shall be indemnify	0.6291948556900024	new	xReact
PersonX be stand next to rick	PersonX get to shoot	0.6059063076972961	new	xIntent
81 % of population be from general caste	PersonY % be schedule tribe	0.747097373008728	new	oEffect
PersonX die ago	PersonX be clay thompson	0.8678978681564331	new	xWant
PersonX become very upset	PersonX be always adopt	0.8895729780197144	head	xReact
PersonX could not sleep	PersonX meet you	0.8615703582763672	tail	xWant
PersonX get convince	PersonX friendship be not just friendship	0.6221610307693481	new	xNeed
they have no business create	PersonY be the worst mistake of career	0.8671014308929443	new	oEffect
PersonX work at place	PersonX be cool	0.6914041638374329	tail	xReact
mikey get more annoying	PersonY get more powerful	0.8079252839088441	new	oEffect
PersonX have some background	PersonX be wonder	0.7022284269332886	tail	xReact
PersonX work day	PersonX have no social life	0.9751560091972352	head	xNeed
PersonX kick with foot	PersonY have try	0.9161407351493835	head	oWant
PersonX be old	PersonX be honest	0.954412281513214	head	xAttr
PersonX get PersonX way	PersonY like it	0.9175660610198976	head	oEffect
PersonX use god justify the dramatic event	PersonY be kind annoying	0.9003034234046936	new	oReact
PersonX be not kill here	PersonY be obvious	0.5064106583595276	new	oEffect
PersonX sit in chair	PersonX can get a reading on energy	0.939265251159668	head	xWant
PersonX always come here for lunch	PersonX go to school	0.9272263050079346	tail	xIntent
PersonX receive a stinging blow on ear	PersonX be on the ground	0.5415844917297363	tail	xEffect
PersonX be a famous race car driver	PersonX be alive	0.9144854545593262	new	xNeed
PersonX call julia	PersonY call the police	0.8611533045768738	tail	oEffect
PersonX be lucky	PersonY pass through at twilight	0.6810557842254639	new	oEffect
PersonX go to store	PersonX be pretty	0.5388413667678833	head	xAttr
PersonX can not be a part of game	PersonY PersonX be look for stuff	0.7186015248298645	new	oEffect
PersonX be old	PersonX illness have be cruel	0.7497497200965881	head	xEffect
the hideous blackamoor drop from straightway	PersonY be sa'ad al din saood	0.5872341990470886	new	oEffect
PersonX go to bed	PersonX would dream about	0.7984704971313477	head	xEffect
PersonX answer my question	PersonY be ok	0.9873335361480712	tail	oReact
PersonX raise my hand	PersonX be new	0.9666268229484558	head	xAttr
PersonX wish to achieve	PersonX create policy	0.6215733289718628	new	xWant
PersonX be not gon na fire anybody	PersonY be dumb	0.7146663069725037	tail	oReact
PersonX be old	PersonX be lovely	0.5530312657356262	head	xReact
PersonX could not wonder at it	PersonX could see	0.7766419053077698	new	xNeed
PersonX wasn t	PersonX have the flu	0.6599996089935303	new	xIntent
it be so	PersonY feel pain at parting	0.9069138765335084	new	oWant
PersonX get nut	PersonY kick PersonX out	0.6570455431938171	new	oEffect
it can store	PersonY be very good	0.948563516139984	tail	oReact
dessert we get the creme brulee	PersonY be good	0.7982164025306702	tail	oReact
PersonX want to keep it	PersonY opinion be wrong	0.976697325706482	head	oReact
both of parent die	PersonY fiancee leave i	0.8058407306671143	new	oEffect
PersonX have be work PersonY for year	PersonX be bias	0.9069446921348572	tail	xReact
PersonX be old	PersonX be win	0.6086754202842712	head	xAttr
PersonX have the qualification	PersonY need the money	0.7082892656326294	new	oEffect
PersonX cover my face	PersonX be excite	0.895595133304596	head	xAttr
PersonX love PersonY much	PersonX need something	0.8797643780708313	head	xWant
this vessel be rip apart level by archangel	PersonY retain a certain structural integrity	0.7661996483802795	new	oWant
it start to rain	PersonY all come indoors	0.5839555263519287	new	oEffect
PersonX forgive PersonY	PersonY girl be okay	0.8850284218788147	head	oReact
PersonX have a sweet tooth	PersonX will not be disappointed whatsoever	0.9569416642189026	head	xAttr
PersonX have to go to room	PersonY find a way	0.8852545022964478	head	oWant
PersonX push PersonY away	PersonX be finish	0.9213192462921144	head	xAttr
PersonX have much fun	PersonX might have go farther	0.58089679479599	head	xNeed
PersonX be not go to help	PersonX be leave	0.884535014629364	tail	xReact
they be not in love with other	PersonY be true	0.5027539134025574	new	oEffect
they be go	PersonY be only	0.7269230484962463	new	oWant
PersonX aspire to nothing	PersonX may not even be halfway through my life	0.7460846900939941	new	xIntent
PersonX would leave it to PersonY	PersonY would buy a cosy little home some place for PersonX	0.7754840850830078	new	oEffect
PersonX get here	PersonY be hope	0.9948412775993348	tail	oReact
PersonX take it	PersonX go to jail	0.5922421813011169	tail	xEffect
this town be stand on edge	PersonY can really stop it anymore	0.8454568982124329	new	oWant
PersonX live in california	PersonX go to place	0.8106060028076172	tail	xEffect
PersonX want to visit	PersonY flag down the first wheelchair	0.5474064946174622	new	oEffect
PersonX want PersonY	PersonY wife be here	0.9186699986457824	head	oWant
PersonX be welcome	PersonY crash on couch	0.8549363613128662	new	oWant
everyone love they food	PersonY give out big portion	0.8307204246520996	new	oWant
PersonX be gon na be fucking paranoid life	PersonX be average	0.97978013753891	tail	xAttr
PersonX could see PersonY	PersonX leave PersonY	0.8401079177856445	tail	xWant
PersonX take PersonY to hospital	PersonX call the police	0.7484175562858582	head	xEffect
PersonX be really good at it	PersonX be old	0.8480615019798279	head	xReact
PersonX baby be go to be fine	PersonX dont have anything	0.9376474022865297	new	xWant
PersonX be eat at place	PersonX be a vegetarian	0.7582839727401733	tail	xAttr
PersonX be come on offensive	PersonX be ruthless	0.8271709680557251	tail	xAttr
there be not a boy	PersonY have burn away	0.7649915814399719	new	oEffect
PersonX play a little	PersonY be fun	0.6618927121162415	new	oEffect
PersonX would recommend this place !!!	PersonY be fast	0.5044071078300476	new	oEffect
PersonX be not clear	PersonX be drunk	0.8282492756843567	tail	xAttr
PersonX feel sorry for PersonY	PersonY they be back together	0.8487789630889893	head	oWant
PersonX just let	PersonX send my son to york	0.7034603357315063	new	xEffect
PersonX take medication	PersonX be deny	0.8333629369735718	head	xAttr
PersonX want to go	PersonX be not even sure	0.941951870918274	head	xAttr
PersonX find the problem	PersonX go ahead	0.7885347604751587	head	xIntent
PersonX ask PersonX	PersonX walk up PersonX at bar	0.7701000571250916	head	xEffect
PersonX be old	PersonX wake early	0.7498207092285156	head	xEffect
PersonX be still good	PersonY be have	0.7219346761703491	new	oWant
PersonX be glad	PersonX hear you	0.7170819044113159	tail	xNeed
PersonX make it in time	PersonY be busy now	0.7812935113906859	head	oReact
PersonX be home	PersonX be gay	0.5944940447807312	new	xReact
there be a cockroach inside samosa	PersonY place be the definition of disaster	0.7500669956207275	new	oReact
now PersonX be go to bed	PersonY stomach be sick	0.5278484821319579	new	oReact
PersonX use to be	PersonX be not quick	0.6707395911216736	new	xNeed
PersonX be old	PersonX have never be pregnant	0.8562656044960022	head	xWant
PersonX have a friend	PersonX be look forward	0.5756785869598389	head	xReact
PersonX be not gon na go talk to they	PersonX have something	0.7543476819992065	tail	xWant
PersonX leave my phone	PersonX sit on bench	0.8856497406959534	head	xNeed
it be radiation	PersonY climb now	0.7020840048789978	new	oWant
all be to issue the command	PersonY command be	0.5344921350479126	new	oEffect
it ring 7-8 time	PersonY be busy	0.7527901530265808	tail	oReact
PersonX be first in line	PersonX will be lucky	0.9826585054397584	head	xAttr
PersonX want to buy it	PersonY be wonder	0.9513431191444396	head	oReact
PersonX be not home by 23:30	PersonY will send the cavalry	0.8046913743019104	new	oWant
PersonX keep the money	PersonY be really very serious	0.7047759890556335	new	oWant
PersonX pay well	PersonX really be	0.9144676923751832	head	xWant
PersonX work day	PersonX be murder	0.6220211982727051	head	xAttr
PersonX be old	PersonX be you history teacher	0.8136278390884399	head	xWant
PersonX be old	PersonX have be dream about it	0.5988486409187317	head	xWant
PersonX be very sorry for loss	PersonX be sure	0.6004916429519653	new	xEffect
PersonX see PersonY first	PersonX would feel bad	0.6223901510238647	head	xReact
PersonX get my degree	PersonY ask we	0.8757508397102356	new	oEffect
PersonX give PersonY	PersonY would give PersonX two charriot of gold	0.8385373950004578	head	oWant
together they go to concord to call on emerson	PersonY make a farewell trip to boston	0.566293478012085	new	oWant
PersonX want a quiet place	PersonY crowd of people show up	0.6119459867477417	new	oEffect
so be i.	PersonY be home free	0.9563986659049988	new	oReact
PersonX be adam	PersonY cut the jargon	0.7395065426826477	new	oEffect
that be true	PersonY cover be blow	0.7530935406684875	new	oWant
PersonX be extremely disappointed	PersonY get from here	0.7600712776184082	new	oEffect
that be built-in clientele	PersonY would all follow i over second	0.5387455224990845	new	oEffect
PersonX would come again	PersonX be bore	0.9617851972579956	tail	xAttr
PersonX ask my sister	PersonX be free	0.940123975276947	head	xAttr
thing be hopeless	PersonY get stick	0.8117973208427429	new	oEffect
PersonX get PersonY	PersonX be sure	0.6534782648086548	head	xEffect
PersonX get my friend	PersonY will be fine	0.7458545565605164	head	oReact
